IPEDS ID,Source,Notes,UCSB (110705),UCF (132903),UH (225511),UNT (227216),,UCF/UCSB/UH Avg,Difference b/w 3 Peers & UNT,Percent Difference Peers & UNT
Last Update: 10/10/2014,,,110705,132903,225511,227216,,,,"Percentage difference formula:Percentage difference equals the absolute value of the change in value, divided by the average of the 2 numbers. ( | g1 - i2 | / ((g1 + i2)/2) )"
Total Enrollment (Fall 2012),IPEDS; Fall Enrollment; Grand total (EF2012  All students total) ,"IPEDS; Fall Enrollment; Grand total (EF2012  All students total).   Includes:   All students total (Undergraduate: Degree/certificate-seeking total, First time, Other degree/certificate-seeking, Transfer-ins, Continuing,  Non-degree/certificate-seeking)
(Graduate: Masters and Doctoral,  First professional)",21927,59601,40747,37950,,40758,-2808,-7.14%
"Estimated Enrollment, Total (Fall 2013)","IPEDS; Fall Enrollment; Estimated Enrollment, total (EFEST2013)","IPEDS; Fall Enrollment; Estimated Enrollment, total (EFEST2013). Variable Description: Please provide an early estimate of your institution's fall enrollment for all levels offered at your institution as indicated above for full- and part-time students. Estimates should be based on the definitions used in the IPEDS Enrollment component submitted in the Winter or Spring collection. Report only for students enrolled for credit",21956,59740,39540,37771,,40412,-2641,-6.76%
Undergraduate Enrollment Total (Fall 2012),IPEDS; Fall Enrollment; Grand total (EF2012  All students  Undergraduate total) ,IPEDS; Fall Enrollment; Grand total (EF2012  All students  Undergraduate total) . Variable Description: Please provide an early estimate of your institution's fall enrollment for all levels offered at your institution as indicated above for full- and part-time students. Estimates should be based on the definitions used in the IPEDS Enrollment component submitted in the Winter or Spring collection. Report only for students enrolled for credit,18977,51010,32760,30593,,34249,-3656,-11.28%
Undergraduate FTSE (2012-2013),IPEDS; 12-mo Enrollment; Reported full-time equivalent (FTE) undergraduate enrollment  2012-13 (EFIA2013) *Reported & Estimated Values are the same,"IPEDS; 12-mo Enrollment; Reported full-time equivalent (FTE) undergraduate enrollment  2012-13 (EFIA2013) *Reported & Estimated Values are the same.  The FTE enrollment estimate is calculated based on the total credit and/or contact hours reported in Part B and the institution's calendar system, as reported on the prior year Institutional Characteristics (IC) component. The following method is used to convert the credit and/or contact hours reported to an indicator of full-time equivalent students:
Semester/Trimester/4-1-4 Plan/Other Calendar System: Undergraduate credit hours are divided by 30 and graduate credit hours are divided by 24.",19593,45565,26905,26524,,30688,-4164,-14.56%
Graduate Enrollment Total (Fall 2012),IPEDS; Fall Enrollment; Grand total (EF2012  All students  Graduate and First professional),IPEDS; Fall Enrollment; Grand total (EF2012  All students  Graduate and First professional).  Variable Description: Please provide an early estimate of your institution's fall enrollment for all levels offered at your institution as indicated above for full- and part-time students. Estimates should be based on the definitions used in the IPEDS Enrollment component submitted in the Winter or Spring collection. Report only for students enrolled for credit,2950,8591,7987,7357,,6509,848,12.23%
Graduate FTSE (2012-2013),IPEDS; 12-mo Enrollment; Reported full-time equivalent (FTE) Graduate enrollment  2012-13 (EFIA2013) *Reported & Estimated Values are the same,"How is the estimate of full-time equivalent (FTE) students calculated?
The FTE enrollment estimate is calculated based on the total credit and/or contact hours reported in Part B and the institution's calendar system, as reported on the prior year Institutional Characteristics (IC) component. The following method is used to convert the credit and/or contact hours reported to an indicator of full-time equivalent students:
Semester/Trimester/4-1-4 Plan/Other Calendar System: Undergraduate credit hours are divided by 30 and graduate credit hours are divided by 24.",3213,5892,4983,5170,,4696,474,9.61%
% Minority (Fall 2012),IPEDS; Fall Enrollment; Grand total (EF2012  All students total),"IPEDS; Fall Enrollment; Grand total (EF2012  All students total). Calculated by creating minority counts: added all groups (Asian, Black, Hispanic, Native American, 2+ races, nonresident except white, then divided by grand total of all students",57.04%,41.32%,67.84%,45.97%,,55.40%,-9.43%,-18.61%
FTIC Headcount (Fall 2012),IPEDS; Fall Enrollment; Total Entering Class; Full-time first-time degree/certificate-seeking undergraduate (current year GRS cohort) (EF2012D),"IPEDS; Fall Enrollment; Total Entering Class; Full-time first-time degree/certificate-seeking undergraduate (current year GRS cohort) (EF2012D). Full-time first-time degree/certificate-seeking undergraduates enrolled for credit.
NOTE: Enrollment reported is of the institution's official fall reporting date or October 15.
Full-time first-time degree/certificate-seeking undergraduates enrolled for credit.
First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school).
Full-time undergraduate - A student enrolled for 12 or more semester credits , or 12 or more quarter credits, or 24 or more contact hours a week each term.",4722,5934,3350,4400,,4669,-269,-5.93%
New Transfer Headcount,"IPEDS; Frequently Used/Derived Variables: Section number: 430
Undergraduate and graduate enrollment by full- and part-time status; Transfer-in degree/certificate-seeking undergraduate enrollment (DRVEF2012)","IPEDS; Frequently Used/Derived Variables: Section number: 430.
Undergraduate and graduate enrollment by full- and part-time status; Transfer-in degree/certificate-seeking undergraduate enrollment (DRVEF2012)Variable Description.
Transfer-in degree/certificate seeking undergraduate men and women enrolled for credit in the fall of the academic year.
Transfer-in student - A student entering the reporting institution for the first time but known to have previously attended a postsecondary institution at the same level (e.g., undergraduate, graduate). The student may transfer with or without credit.
Degree/certificate-seeking students Students enrolled in courses for credit and recognized by the institution as seeking a degree, certificate, or other formal award. High school students also enrolled in postsecondary courses for credit are not considered degree/certificate-seeking
Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate. ",1651,7197,4264,4490,,4371,119,2.69%
